grid,position,positionOrder,points,laps,milliseconds,fastestLap,fastestLapTime,fastestLapSpeed,name,nationality_y,avg_pitstop,longest_pitstop,shortest_pitstop,pitstops,driver_name,age
2,2,2,18.0,58,5392556,41,90.314,211.382,McLaren,British,23213.0,23227,23199,2,Lewis Hamilton,39.0
2,8,8,4.0,56,5929789,54,101.512,196.575,McLaren,British,23252.75,25382,22466,4,Lewis Hamilton,39.0
3,1,1,25.0,56,5818226,48,100.41499999999999,195.424,McLaren,British,20659.333333333332,20878,20533,3,Lewis Hamilton,39.0
4,4,4,12.0,58,5457790,48,90.108,213.264,McLaren,British,24909.25,35688,20833,4,Lewis Hamilton,39.0
3,2,2,18.0,66,5943931,52,86.727,193.227,McLaren,British,20364.25,20988,19761,4,Lewis Hamilton,39.0
9,6,6,8.0,78,7805583,54,77.84700000000001,154.456,McLaren,British,25923.0,31445,19347,3,Lewis Hamilton,39.0
3,4,4,12.0,57,6022359,47,102.947,189.499,McLaren,British,20529.0,21035,20212,3,Lewis Hamilton,39.0
10,4,4,12.0,52,5350182,39,96.18,220.499,McLaren,British,24168.333333333332,25100,23340,3,Lewis Hamilton,39.0
2,1,1,25.0,60,5850334,59,94.30199999999999,196.526,McLaren,British,20627.0,20982,20403,3,Lewis Hamilton,39.0
2,4,4,12.0,70,6450675,61,83.661,188.517,McLaren,British,19866.666666666668,21880,13173,6,Lewis Hamilton,39.0
2,4,4,12.0,53,4863589,52,86.187,241.971,McLaren,British,21979.5,22083,21876,2,Lewis Hamilton,39.0
4,5,5,10.0,61,7214523,54,110.832,164.779,McLaren,British,29704.4,33456,24342,5,Lewis Hamilton,39.0
3,5,5,10.0,53,5477695,49,97.64500000000001,214.093,McLaren,British,21734.666666666668,22821,21091,3,Lewis Hamilton,39.0
1,2,2,18.0,55,5894013,54,100.459,201.216,McLaren,British,20715.0,20846,20584,2,Lewis Hamilton,39.0
5,7,7,6.0,60,5519185,58,88.721,207.955,McLaren,British,23965.0,27193,22172,3,Lewis Hamilton,39.0
2,1,1,25.0,55,5831886,51,103.461,193.255,McLaren,British,19394.5,19439,19350,2,Lewis Hamilton,39.0
1,3,3,15.0,58,5653640,57,89.538,213.214,McLaren,British,23163.0,23464,22862,2,Lewis Hamilton,39.0
1,3,3,15.0,56,9906403,50,101.539,196.523,McLaren,British,26190.0,27961,24271,3,Lewis Hamilton,39.0
7,3,3,15.0,56,5812941,40,100.53,195.201,McLaren,British,20590.333333333332,20903,20177,3,Lewis Hamilton,39.0
2,8,8,4.0,57,5769974,38,97.733,199.351,McLaren,British,27553.0,30622,23696,3,Lewis Hamilton,39.0
24,8,8,4.0,66,6027285,50,88.918,188.465,McLaren,British,20971.5,21963,19980,2,Lewis Hamilton,39.0
3,5,5,10.0,78,6370658,46,78.806,152.577,McLaren,British,25748.0,25748,25748,1,Lewis Hamilton,39.0
2,1,1,25.0,70,5549586,59,77.02,203.837,McLaren,British,21952.5,22530,21375,2,Lewis Hamilton,39.0
8,8,8,4.0,52,5147751,44,96.173,220.515,McLaren,British,24750.5,25003,24498,2,Lewis Hamilton,39.0
1,1,1,25.0,69,6065503,65,85.67699999999999,184.082,McLaren,British,19747.5,20436,19059,2,Lewis Hamilton,39.0
1,1,1,25.0,53,4781221,52,88.42699999999999,235.841,McLaren,British,20736.0,20736,20736,1,Lewis Hamilton,39.0
9,5,5,10.0,53,5382732,45,97.75999999999999,213.842,McLaren,British,20471.0,21148,19794,2,Lewis Hamilton,39.0
3,10,10,1.0,55,5868343,49,102.721,196.785,McLaren,British,19954.0,20777,19447,3,Lewis Hamilton,39.0
3,4,4,12.0,60,5484653,58,88.944,207.433,McLaren,British,20852.0,20852,20852,1,Lewis Hamilton,39.0
2,1,1,25.0,56,5755269,55,99.709,199.047,McLaren,British,20814.0,20814,20814,1,Lewis Hamilton,39.0
15,5,5,10.0,69,6419064,67,87.311,180.637,McLaren,British,20140.8,23162,16796,5,Fernando Alonso,42.0
19,11,11,0.0,53,5922234,29,102.63900000000001,205.115,McLaren,British,29539.0,29539,29539,1,Fernando Alonso,42.0
